transit_date,station_complex,ridership
2022-02-01,1 Av (L),7256.0
2022-02-01,"103 St (C,B)",1624.0
2022-02-01,"116 St (C,B)",2673.0
2022-02-01,"125 St (A,C,B,D)",10346.0
2022-02-01,"135 St (C,B)",2029.0
2022-02-01,"145 St (A,C,B,D)",9731.0
2022-02-01,155 St (C),1043.0
2022-02-01,163 St-Amsterdam Av (C),1704.0
2022-02-01,175 St (A),4517.0
2022-02-01,181 St (A),4303.0
2022-02-01,190 St (A),1662.0
2022-02-01,"23 St (C,E)",6631.0
2022-02-01,"23 St (R,W)",5472.0
2022-02-01,"28 St (R,W)",2771.0
2022-02-01,3 Av (L),2231.0
2022-02-01,"34 St-Penn Station (A,C,E)",22935.0
2022-02-01,"49 St (N,R,W)",5836.0
2022-02-01,"50 St (C,E)",4981.0
2022-02-01,"72 St (C,B)",2844.0
2022-02-01,"8 St-NYU (R,W)",4930.0
2022-02-01,"81 St-Museum of Natural History (C,B)",3242.0
2022-02-01,"86 St (C,B)",3837.0
2022-02-01,"96 St (C,B)",3675.0
2022-02-01,"Astoria-Ditmars Blvd (N,W)",6175.0
2022-02-01,Atlantic Av (L),679.0
2022-02-01,Bedford Av (L),7812.0
2022-02-01,"Bowery (J,Z)",979.0
2022-02-01,"Broad St (J,Z)",1947.0
2022-02-01,Bushwick Av-Aberdeen St (L),933.0
2022-02-01,"Canal St (A,C,E)",4723.0
2022-02-01,Canarsie-Rockaway Pkwy (L),2568.0
2022-02-01,"Cathedral Pkwy (110 St) (C,B)",2599.0
2022-02-01,Central Av (M),1303.0
2022-02-01,Clinton-Washington Avs (C),2193.0
2022-02-01,DeKalb Av (L),4480.0
2022-02-01,Dyckman St (A),2573.0
2022-02-01,East 105 St (L),1374.0
2022-02-01,Forest Av (M),1934.0
2022-02-01,Fresh Pond Rd (M),2732.0
2022-02-01,Graham Av (L),3156.0
2022-02-01,Grand St (L),2528.0
2022-02-01,Halsey St (L),2800.0
2022-02-01,"Hewes St (M,J)",1096.0
2022-02-01,"High St (A,C)",3453.0
2022-02-01,"Hoyt-Schermerhorn Sts (A,C,G)",3894.0
2022-02-01,Inwood-207 St (A),3673.0
2022-02-01,Jefferson St (L),2311.0
2022-02-01,Kingston-Throop Avs (C),2366.0
2022-02-01,Knickerbocker Av (M),1533.0
2022-02-01,Lafayette Av (C),1651.0
2022-02-01,Livonia Av (L),1085.0
2022-02-01,"Marcy Av (M,J,Z)",4399.0
2022-02-01,Middle Village-Metropolitan Av (M),2133.0
2022-02-01,Montrose Av (L),2319.0
2022-02-01,Morgan Av (L),2284.0
2022-02-01,New Lots Av (L),1741.0
2022-02-01,"Nostrand Av (A,C)",5971.0
2022-02-01,Park Pl (S),706.0
2022-02-01,"Prince St (R,W)",2862.0
2022-02-01,Seneca Av (M),1078.0
2022-02-01,"Spring St (C,E)",3368.0
2022-02-01,Sutter Av (L),1338.0
2022-02-01,"Utica Av (A,C)",1938.0
2022-02-01,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",11119.0
2022-02-01,Wilson Av (L),1617.0
2022-02-02,1 Av (L),9019.0
2022-02-02,"103 St (C,B)",1867.0
2022-02-02,"116 St (C,B)",3227.0
2022-02-02,"125 St (A,C,B,D)",12272.0
2022-02-02,"135 St (C,B)",2539.0
2022-02-02,"145 St (A,C,B,D)",10802.0
2022-02-02,155 St (C),1162.0
2022-02-02,163 St-Amsterdam Av (C),1945.0
2022-02-02,175 St (A),4996.0
2022-02-02,181 St (A),4828.0
2022-02-02,190 St (A),1866.0
2022-02-02,"23 St (C,E)",8119.0
2022-02-02,"23 St (R,W)",6087.0
2022-02-02,"28 St (R,W)",2967.0
2022-02-02,3 Av (L),2488.0
2022-02-02,"34 St-Penn Station (A,C,E)",23439.0
2022-02-02,"49 St (N,R,W)",6607.0
2022-02-02,"50 St (C,E)",6282.0
2022-02-02,"72 St (C,B)",3102.0
2022-02-02,"8 St-NYU (R,W)",4922.0
2022-02-02,"81 St-Museum of Natural History (C,B)",4360.0
2022-02-02,"86 St (C,B)",4590.0
2022-02-02,"96 St (C,B)",4355.0
2022-02-02,"Astoria-Ditmars Blvd (N,W)",6829.0
2022-02-02,Atlantic Av (L),853.0
2022-02-02,Bedford Av (L),8852.0
2022-02-02,"Bowery (J,Z)",1013.0
2022-02-02,"Broad St (J,Z)",2192.0
2022-02-02,Bushwick Av-Aberdeen St (L),1114.0
2022-02-02,"Canal St (A,C,E)",5208.0
2022-02-02,Canarsie-Rockaway Pkwy (L),2877.0
2022-02-02,"Cathedral Pkwy (110 St) (C,B)",3071.0
2022-02-02,Central Av (M),1397.0
2022-02-02,Clinton-Washington Avs (C),2620.0
2022-02-02,DeKalb Av (L),5074.0
2022-02-02,Dyckman St (A),2791.0
2022-02-02,East 105 St (L),1420.0
2022-02-02,Forest Av (M),2196.0
2022-02-02,Fresh Pond Rd (M),2851.0
2022-02-02,Graham Av (L),3673.0
2022-02-02,Grand St (L),3263.0
2022-02-02,Halsey St (L),3129.0
2022-02-02,"Hewes St (M,J)",1244.0
2022-02-02,"High St (A,C)",3564.0
2022-02-02,"Hoyt-Schermerhorn Sts (A,C,G)",4268.0
2022-02-02,Inwood-207 St (A),3863.0
2022-02-02,Jefferson St (L),2553.0
2022-02-02,Kingston-Throop Avs (C),2662.0
2022-02-02,Knickerbocker Av (M),1853.0
2022-02-02,Lafayette Av (C),2172.0
2022-02-02,Livonia Av (L),1353.0
2022-02-02,"Marcy Av (M,J,Z)",4857.0
2022-02-02,Middle Village-Metropolitan Av (M),2330.0
2022-02-02,Montrose Av (L),2701.0
2022-02-02,Morgan Av (L),2582.0
2022-02-02,New Lots Av (L),1880.0
2022-02-02,"Nostrand Av (A,C)",6986.0
2022-02-02,Park Pl (S),885.0
2022-02-02,"Prince St (R,W)",2986.0
2022-02-02,Seneca Av (M),1240.0
2022-02-02,"Spring St (C,E)",3938.0
2022-02-02,Sutter Av (L),1385.0
2022-02-02,"Utica Av (A,C)",1880.0
2022-02-02,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",12571.0
2022-02-02,Wilson Av (L),1956.0
2022-02-03,1 Av (L),9066.0
2022-02-03,"103 St (C,B)",1828.0
2022-02-03,"116 St (C,B)",3272.0
2022-02-03,"125 St (A,C,B,D)",12113.0
2022-02-03,"135 St (C,B)",2622.0
2022-02-03,"145 St (A,C,B,D)",10937.0
2022-02-03,155 St (C),1260.0
2022-02-03,163 St-Amsterdam Av (C),1950.0
2022-02-03,175 St (A),4902.0
2022-02-03,181 St (A),4767.0
2022-02-03,190 St (A),1851.0
2022-02-03,"23 St (C,E)",8046.0
2022-02-03,"23 St (R,W)",6192.0
2022-02-03,"28 St (R,W)",3148.0
2022-02-03,3 Av (L),2503.0
2022-02-03,"34 St-Penn Station (A,C,E)",23827.0
2022-02-03,"49 St (N,R,W)",6736.0
2022-02-03,"50 St (C,E)",6764.0
2022-02-03,"72 St (C,B)",3021.0
2022-02-03,"8 St-NYU (R,W)",4813.0
2022-02-03,"81 St-Museum of Natural History (C,B)",4574.0
2022-02-03,"86 St (C,B)",4572.0
2022-02-03,"96 St (C,B)",4304.0
2022-02-03,"Astoria-Ditmars Blvd (N,W)",6827.0
2022-02-03,Atlantic Av (L),869.0
2022-02-03,Bedford Av (L),8725.0
2022-02-03,"Bowery (J,Z)",1046.0
2022-02-03,"Broad St (J,Z)",2256.0
2022-02-03,Bushwick Av-Aberdeen St (L),1089.0
2022-02-03,"Canal St (A,C,E)",5052.0
2022-02-03,Canarsie-Rockaway Pkwy (L),2807.0
2022-02-03,"Cathedral Pkwy (110 St) (C,B)",3108.0
