"station_name","station_complex","lines","historical","borough","county","latitude","longitude","wifi_available","at_t","sprint","t_mobile","verizon","location","georeference"
"77th St","77 St (R)","R","No","Brooklyn","Kings County","40.629742","-74.02551","No","No","No","No","No","(40.629742, -74.02551)","POINT (-74.02551 40.629742)"
"149th St-3rd Ave","3 Av-149 St (2,5)","25","No","Bronx","Bronx County","40.816109","-73.917757","No","Yes","Yes","No","Yes","(40.816109, -73.917757)","POINT (-73.917757 40.816109)"
"East 149th St","East 149 St (6)","6","No","Bronx","Bronx County","40.812118","-73.904098","No","Yes","Yes","Yes","Yes","(40.812118, -73.904098)","POINT (-73.904098 40.812118)"
"125th St","125 St (2,3)","23","No","Manhattan","New York County","40.807745","-73.945502","No","Yes","Yes","Yes","Yes","(40.807745, -73.945502)","POINT (-73.945502 40.807745)"
"Franklin Ave","Franklin Av (C,S)","AC","No","Brooklyn","Kings County","40.68138","-73.956848","No","No","No","No","No","(40.68138, -73.956848)","POINT (-73.956848 40.68138)"
"174th St","174-175 Sts (B,D)","BD","No","Bronx","Bronx County","40.8459","-73.910136","No","Yes","Yes","Yes","Yes","(40.8459, -73.910136)","POINT (-73.910136 40.8459)"
"181st St.","181 St (A)","A","Yes","Manhattan","New York County","40.851695","-73.937969","No","Yes","Yes","Yes","Yes","(40.851695, -73.937969)","POINT (-73.937969 40.851695)"
"South Ferry","South Ferry (1)","1","No","Manhattan","New York County","40.701542","-74.013506","No","No","No","No","No","(40.701542, -74.013506)","POINT (-74.013506 40.701542)"
"Northern Blvd","Northern Blvd (M,R)","MR","No","Queens","Queens County","40.752885","-73.906006","No","Yes","Yes","Yes","Yes","(40.752885, -73.906006)","POINT (-73.906006 40.752885)"
"8th st","8 St-New York University (N,R)","R","No","Manhattan","New York County","40.730328","-73.992629","No","No","Yes","No","No","(40.730328, -73.992629)","POINT (-73.992629 40.730328)"
"155th St","155 St (B,D)","BD","No","Manhattan","New York County","40.830135","-73.938209","No","Yes","Yes","Yes","Yes","(40.830135, -73.938209)","POINT (-73.938209 40.830135)"
"96 St","96 St (Q)","Q","No","Manhattan","New York County","40.784267","-73.947114","No","No","No","No","No","(40.784267, -73.947114)","POINT (-73.947114 40.784267)"
"Court Square","23 St-Ely Av (E)/Long Island City-Court Sq (G)","G","No","Queens","Queens County","40.746554","-73.943832","No","Yes","Yes","Yes","Yes","(40.746554, -73.943832)","POINT (-73.943832 40.746554)"
"City Hall","City Hall (R)","R","No","Manhattan","New York County","40.713282","-74.006978","No","No","Yes","No","No","(40.713282, -74.006978)","POINT (-74.006978 40.713282)"
"Chambers St","Chambers St (J,M,Z)/Bklyn Bridge-City Hall (4,5,6)","JMZ","Yes","Manhattan","New York County","40.713243","-74.003401","No","No","Yes","No","No","(40.713243, -74.003401)","POINT (-74.003401 40.713243)"
"Park Place","Chambers St-WTC (A,C,E)/Park Pl (2,3)","23","No","Manhattan","New York County","40.713051","-74.008811","No","No","Yes","No","No","(40.713051, -74.008811)","POINT (-74.008811 40.713051)"
"86th St","86 St (4,5,6)","456","Yes","Manhattan","New York County","40.779492","-73.955589","No","Yes","Yes","Yes","Yes","(40.779492, -73.955589)","POINT (-73.955589 40.779492)"
"Pacific St","Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,M,N,R)","DMNR","No","Brooklyn","Kings County","40.683666","-73.97881","No","No","No","No","No","(40.683666, -73.97881)","POINT (-73.97881 40.683666)"
"190th St","190 St (A)","AC","Yes","Manhattan","New York County","40.859022","-73.93418","No","Yes","Yes","Yes","Yes","(40.859022, -73.93418)","POINT (-73.93418 40.859022)"
